cui1,rel,cui2_raw,cui2_resolved,rela,sab,cui2_name
C0000946,RO,A0116150,C0036980,has_contraindicated_drug,MED-RT,"Shock, Cardiogenic"
C0000946,RO,A0116372,C0037052,has_contraindicated_drug,MED-RT,Sick Sinus Syndrome
C0000946,RO,A0032418,C0428977,has_contraindicated_drug,MED-RT,Bradycardia
C0000948,RO,A30275382,C4722060,therapeutic_class_of,MED-RT,Ophthalmic Agents
C0000970,RO,A28936840,C0003209,therapeutic_class_of,MED-RT,Anti-inflammatory Agent
C0000970,RO,A0051521,C0013182,has_contraindicated_drug,MED-RT,Drug Hypersensitivity
C0000970,RO,A0080699,C0023895,has_contraindicated_drug,MED-RT,Liver Diseases
C0000970,RO,A0063838,C2939465,has_contraindicated_drug,MED-RT,Glucosephosphate Dehydrogenase Deficiency
C0000981,RO,A0018901,C0001122,has_contraindicated_drug,MED-RT,Acidosis
C0000981,RO,A0020267,C0001621,has_contraindicated_drug,MED-RT,Adrenal Gland Diseases
C0000981,RO,A28936584,C0003299,therapeutic_class_of,MED-RT,Anti-epileptic Agent
C0000981,RO,A28939656,C0007220,therapeutic_class_of,MED-RT,Cardiovascular Agent
C0000981,RO,A0051521,C0013182,has_contraindicated_drug,MED-RT,Drug Hypersensitivity
C0000981,RO,A0057015,C0015237,has_contraindicated_drug,MED-RT,Excipients
C0000981,RO,A0063450,C0017605,has_contraindicated_drug,MED-RT,"Glaucoma, Angle-Closure"
C0000981,RO,A0071276,C0020621,has_contraindicated_drug,MED-RT,Hypokalemia
C0000981,RO,A0071307,C0020625,has_contraindicated_drug,MED-RT,Hyponatremia
C0000981,RO,A0077214,C0022658,has_contraindicated_drug,MED-RT,Kidney Diseases
C0000981,RO,A0080689,C0023890,has_contraindicated_drug,MED-RT,Liver Cirrhosis
C0000981,RO,A0080699,C0023895,has_contraindicated_drug,MED-RT,Liver Diseases
C0000981,RO,A0121097,C0038760,has_contraindicated_class,MED-RT,Sulfonamides
C0000981,RO,A0081252,C0600260,has_contraindicated_drug,MED-RT,"Lung Diseases, Obstructive"
C0000981,RO,A28938558,C1371331,has_contraindicated_physiologic_effect,MED-RT,Decreased Adrenocorticotropic Hormone Secretion
C0000981,RO,A28935369,C2757046,has_contraindicated_mechanism_of_action,MED-RT,Carbonic Anhydrase Inhibitors
C0000983,RO,A28939258,C0003308,therapeutic_class_of,MED-RT,Antifungal Agent
C0000983,RO,A0051521,C0013182,has_contraindicated_drug,MED-RT,Drug Hypersensitivity
C0000983,RO,A0363733,C0206504,has_contraindicated_drug,MED-RT,Tympanic Membrane Perforation
C0000983,RO,A28939259,C0279516,therapeutic_class_of,MED-RT,Antibacterial Agent
C0000992,RO,A0104436,C0032961,has_contraindicated_drug,MED-RT,Pregnancy
C0000992,RO,A30275398,C4722052,therapeutic_class_of,MED-RT,Blood Glucose Regulators
C0001040,RO,A28936841,C0007680,therapeutic_class_of,MED-RT,Central Nervous System Agent
C0001040,RO,A0051521,C0013182,has_contraindicated_drug,MED-RT,Drug Hypersensitivity
C0001041,RO,A0051521,C0013182,has_contraindicated_drug,MED-RT,Drug Hypersensitivity
C0001041,RO,A0075777,C0022081,has_contraindicated_drug,MED-RT,Iritis
C0001041,RO,A30275382,C4722060,therapeutic_class_of,MED-RT,Ophthalmic Agents
C0001047,RO,A0051521,C0013182,has_contraindicated_drug,MED-RT,Drug Hypersensitivity
C0001047,RO,A28934872,C0282686,therapeutic_class_of,MED-RT,Respiratory System Agent
C0001047,RO,A30275406,C4722427,therapeutic_class_of,MED-RT,"Antidotes, Deterrents, and Toxicologic Agents"
C0001080,RO,A33588697,C4519745,may_treat,MED-RT,vosoritide
C0001118,RO,A31762347,C0001898,contraindicated_with_disease,MED-RT,alanine
C0001118,RO,A31738223,C1648700,contraindicated_with_disease,MED-RT,"alanine, DL-"
C0001122,RO,A31669050,C0000981,contraindicated_with_disease,MED-RT,acetazolamide
C0001122,RO,A31733982,C0003765,may_treat,MED-RT,arginine
C0001122,RO,A31638370,C0012086,contraindicated_with_disease,MED-RT,dichlorphenamide
C0001122,RO,A31698904,C0041175,may_treat,MED-RT,tromethamine
C0001122,RO,A10340660,C0048504,may_prevent,MED-RT,fomepizole
