cui1,rel,cui2,rela,sab
C0000981,RO,A0080699,has_contraindicated_drug,MED-RT
C0000981,RO,A0121097,has_contraindicated_class,MED-RT
C0000981,RO,A0081252,has_contraindicated_drug,MED-RT
C0000981,RO,A28938558,has_contraindicated_physiologic_effect,MED-RT
C0000981,RO,A28935369,has_contraindicated_mechanism_of_action,MED-RT
C0000983,RO,A28939258,therapeutic_class_of,MED-RT
C0000983,RO,A0051521,has_contraindicated_drug,MED-RT
C0000983,RO,A0363733,has_contraindicated_drug,MED-RT
C0000983,RO,A28939259,therapeutic_class_of,MED-RT
C0000992,RO,A0104436,has_contraindicated_drug,MED-RT
C0000992,RO,A30275398,therapeutic_class_of,MED-RT
C0001040,RO,A28936841,therapeutic_class_of,MED-RT
C0001040,RO,A0051521,has_contraindicated_drug,MED-RT
C0001041,RO,A0051521,has_contraindicated_drug,MED-RT
C0001041,RO,A0075777,has_contraindicated_drug,MED-RT
C0001041,RO,A30275382,therapeutic_class_of,MED-RT
C0001047,RO,A0051521,has_contraindicated_drug,MED-RT
C0001047,RO,A28934872,therapeutic_class_of,MED-RT
C0001047,RO,A30275406,therapeutic_class_of,MED-RT
C0001080,RO,A33588697,may_treat,MED-RT
C0001118,RO,A31762347,contraindicated_with_disease,MED-RT
C0001118,RO,A31738223,contraindicated_with_disease,MED-RT
C0001122,RO,A31669050,contraindicated_with_disease,MED-RT
C0001122,RO,A31733982,may_treat,MED-RT
C0001122,RO,A31638370,contraindicated_with_disease,MED-RT
C0001122,RO,A31698904,may_treat,MED-RT
C0001122,RO,A10340660,may_prevent,MED-RT
C0001122,RO,A16791845,may_treat,MED-RT
C0001122,RO,A31746177,may_treat,MED-RT
C0001122,RO,A31693932,may_treat,MED-RT
C0001122,RO,A31731891,may_treat,MED-RT
C0001122,RO,A31645206,contraindicated_with_disease,MED-RT
C0001122,RO,A31751798,may_treat,MED-RT
C0001122,RO,A31689374,may_treat,MED-RT
C0001122,RO,A26700410,may_treat,MED-RT
C0001122,RO,A26519139,may_treat,MED-RT
C0001122,RO,A18500885,may_treat,MED-RT
C0001122,RO,A31754267,may_treat,MED-RT
C0001125,RO,A31676413,contraindicated_with_disease,MED-RT
C0001125,RO,A10339682,contraindicated_with_disease,MED-RT
C0001126,RO,A31705469,may_treat,MED-RT
C0001126,RO,A31760868,may_treat,MED-RT
C0001126,RO,A10337702,may_treat,MED-RT
C0001126,RO,A24635339,may_treat,MED-RT
C0001126,RO,A16796978,may_treat,MED-RT
C0001126,RO,A16790800,may_treat,MED-RT
C0001126,RO,A31758106,may_treat,MED-RT
C0001126,RO,A31737766,may_treat,MED-RT
C0001126,RO,A29473731,may_treat,MED-RT
C0001127,RO,A31695198,contraindicated_with_disease,MED-RT
C0001127,RO,A31687501,contraindicated_with_disease,MED-RT
C0001134,RO,A0051521,has_contraindicated_drug,MED-RT
C0001139,RO,A31694855,may_treat,MED-RT
C0001139,RO,A31729773,may_treat,MED-RT
C0001139,RO,A31653650,may_treat,MED-RT
C0001139,RO,A31723332,may_treat,MED-RT
C0001139,RO,A31758017,may_treat,MED-RT
C0001139,RO,A31653651,may_treat,MED-RT
C0001139,RO,A31642535,may_treat,MED-RT
C0001139,RO,A26459362,may_treat,MED-RT
C0001139,RO,A31698170,may_treat,MED-RT
C0001139,RO,A10337008,may_treat,MED-RT
C0001139,RO,A31748205,may_treat,MED-RT
C0001139,RO,A31661242,may_treat,MED-RT
C0001139,RO,A16794391,may_treat,MED-RT
C0001139,RO,A31739806,may_treat,MED-RT
C0001139,RO,A31652835,may_treat,MED-RT
C0001139,RO,A31652837,may_treat,MED-RT
C0001139,RO,A31723423,may_treat,MED-RT
C0001139,RO,A31723848,may_treat,MED-RT
C0001139,RO,A31758527,may_treat,MED-RT
C0001139,RO,A31649778,may_treat,MED-RT
C0001139,RO,A24111680,may_treat,MED-RT
C0001144,RO,A31720212,may_treat,MED-RT
C0001144,RO,A31689310,may_treat,MED-RT
C0001144,RO,A31759540,may_treat,MED-RT
C0001144,RO,A31657726,may_treat,MED-RT
C0001144,RO,A31640363,may_treat,MED-RT
C0001144,RO,A31657727,may_treat,MED-RT
C0001144,RO,A31744649,may_treat,MED-RT
C0001144,RO,A31658780,may_treat,MED-RT
C0001144,RO,A31711061,may_treat,MED-RT
C0001144,RO,A31642509,may_treat,MED-RT
C0001144,RO,A31712577,may_treat,MED-RT
C0001144,RO,A31712578,may_treat,MED-RT
C0001144,RO,A31678005,may_treat,MED-RT
C0001144,RO,A31747758,may_treat,MED-RT
C0001144,RO,A16796737,may_treat,MED-RT
C0001144,RO,A31714795,may_treat,MED-RT
C0001144,RO,A31662677,may_treat,MED-RT
C0001144,RO,A31733048,may_treat,MED-RT
C0001144,RO,A31698358,may_treat,MED-RT
C0001144,RO,A31646879,may_treat,MED-RT
C0001144,RO,A16791846,may_treat,MED-RT
C0001144,RO,A16788058,may_treat,MED-RT
C0001144,RO,A18542397,may_treat,MED-RT
C0001144,RO,A10337078,may_treat,MED-RT
C0001144,RO,A31653806,may_treat,MED-RT
C0001144,RO,A31671675,may_treat,MED-RT
C0001144,RO,A16788066,may_treat,MED-RT
C0001144,RO,A16796752,may_treat,MED-RT
C0001144,RO,A16795549,may_treat,MED-RT
C0001144,RO,A16794309,may_treat,MED-RT
C0001144,RO,A10337762,may_treat,MED-RT
C0001144,RO,A10338066,may_treat,MED-RT
C0001144,RO,A31713485,may_treat,MED-RT
C0001144,RO,A31643844,may_treat,MED-RT
C0001144,RO,A31765583,may_treat,MED-RT
C0001144,RO,A10338575,may_treat,MED-RT
C0001144,RO,A31749240,may_treat,MED-RT
C0001144,RO,A31662498,may_treat,MED-RT
C0001144,RO,A31750434,may_treat,MED-RT
C0001144,RO,A30077557,may_treat,MED-RT
C0001144,RO,A17034693,may_treat,MED-RT
C0001144,RO,A31636290,may_treat,MED-RT
C0001144,RO,A16788286,may_treat,MED-RT
C0001144,RO,A31741123,may_treat,MED-RT
C0001144,RO,A31671582,may_treat,MED-RT
C0001144,RO,A31758557,may_treat,MED-RT
C0001144,RO,A31689305,may_treat,MED-RT
C0001144,RO,A31637320,may_treat,MED-RT
C0001144,RO,A24117490,may_treat,MED-RT
C0001144,RO,A29796984,may_treat,MED-RT
C0001144,RO,A31216583,may_treat,MED-RT
C0001144,RO,A31670405,may_treat,MED-RT
C0001144,RO,A29797818,may_treat,MED-RT
C0001175,RO,A31725549,may_treat,MED-RT
C0001175,RO,A31638436,may_treat,MED-RT
C0001175,RO,A31729502,contraindicated_with_disease,MED-RT
C0001175,RO,A31764170,contraindicated_with_disease,MED-RT
