itemid,label,category,fluid
50920,Estimated GFR (MDRD equation),Chemistry,Blood
50921,Estradiol,Chemistry,Blood
50922,Ethanol,Chemistry,Blood
51621,Ethylene Glycol,Chemistry,Blood
50923,Fax,Chemistry,Blood
50924,Ferritin,Chemistry,Blood
51623,Fibrinogen,Chemistry,Blood
52562,Folate,Chemistry,Blood
50925,Folate,Chemistry,Blood
50926,Follicle Stimulating Hormone,Chemistry,Blood
51624,Free Calcium,Chemistry,Blood
51625,Free Kappa,Chemistry,Blood
51626,Free Kappa/Free Lambda Ratio,Chemistry,Blood
51627,Free Lambda,Chemistry,Blood
51628,Fructosamine,Chemistry,Blood
51629,Fructosamine Plus,Chemistry,Blood
51630,Gamma,Chemistry,Blood
53093,Gamma Glutamyltranferase,Chemistry,Blood
50927,Gamma Glutamyltransferase,Chemistry,Blood
50928,Gastrin,Chemistry,Blood
50929,Gentamicin,Chemistry,Blood
50930,Globulin,Chemistry,Blood
50931,Glucose,Chemistry,Blood
52569,Glucose,Chemistry,Blood
51631,Glycated Hemoglobin,Chemistry,Blood
50932,Gray Top Hold (plasma),Chemistry,Blood
50933,Green Top Hold (plasma),Chemistry,Blood
51632,Growth Hormone,Chemistry,Blood
50934,H,Chemistry,Blood
51666,H. pylori IgG Ab,Chemistry,Blood
51667,H. pylori IgG Ab Value,Chemistry,Blood
53094,HBV VL CT,Chemistry,Blood
50936,"HCG, Maternal Screen",Chemistry,Blood
51636,"HCG, Multiples of Median",Chemistry,Blood
51637,"HCG, Qualitative",Chemistry,Blood
53162,HCV CT,Chemistry,Blood
51653,HIV 1 Ab Confirmation,Chemistry,Blood
51654,HIV 1 Viral Load,Chemistry,Blood
51655,HIV 2 Ab Confirmation,Chemistry,Blood
53152,HIV FINAL,Chemistry,Blood
53153,HIV Screen,Chemistry,Blood
53163,HIV Viral Load Ct,Chemistry,Blood
51657,HPE1,Chemistry,Blood
51658,HPE2,Chemistry,Blood
51659,HPE3,Chemistry,Blood
51660,HPE4,Chemistry,Blood
51661,HPE5,Chemistry,Blood
51662,HPE6,Chemistry,Blood
51663,HPE7,Chemistry,Blood
51664,HPE8,Chemistry,Blood
51665,HPE9,Chemistry,Blood
50935,Haptoglobin,Chemistry,Blood
51633,Hbeag,Chemistry,Blood
51634,Hbsag,Chemistry,Blood
51635,Hbsag,Chemistry,Blood
51639,Hematocrit,Chemistry,Blood
