rela,sab,count
has_expanded_form,HGNC,44067
expanded_form_of,HGNC,44067
loinc_number_of,LNC,43813
has_loinc_number,LNC,43813
has_finding_method,MEDCIN,41509
finding_method_of,MEDCIN,41509
expanded_form_of,OMIM,40845
has_expanded_form,OMIM,40845
has_dose_form,NDDF,39772
dose_form_of,NDDF,39772
part_of,UWDA,38860
has_part,UWDA,38860
alias_of,OMIM,37629
has_alias,OMIM,37629
has_phenotype,OMIM,37026
phenotype_of,OMIM,37026
has_doseformgroup,RXNORM,36535
doseformgroup_of,RXNORM,36535
allelic_variant_of,OMIM,35924
has_allelic_variant,OMIM,35924
mapping_qualifier_of,MSH,35275
has_mapping_qualifier,MSH,35275
isa,VANDF,34887
inverse_isa,VANDF,34887
disease_excludes_finding,NCI,34811
is_not_finding_of_disease,NCI,34811
manufactured_dose_form_of,SNOMEDCT_US,34682
has_manufactured_dose_form,SNOMEDCT_US,34682
manufactured_dose_form_of,SCTSPA,34680
has_manufactured_dose_form,SCTSPA,34680
interpretation_of,SNOMEDCT_US,34624
has_interpretation,SNOMEDCT_US,34624
prev_name_of,HGNC,34142
has_prev_name,HGNC,34142
interpretation_of,SCTSPA,34017
has_interpretation,SCTSPA,34017
has_direct_morphology,SNOMEDCT_US,32559
direct_morphology_of,SNOMEDCT_US,32559
has_direct_morphology,SCTSPA,32530
direct_morphology_of,SCTSPA,32530
has_print_name,VANDF,31811
print_name_of,VANDF,31811
mapped_from,SNMI,31336
mapped_to,SNMI,31336
translation_of,MSHCZE,31186
translation_of,MSHFRE,31186
has_translation,MSHCZE,31186
has_translation,MSHFRE,31186
translation_of,MSHPOR,31110
translation_of,MSHPOL,31110
translation_of,MSHRUS,31110
translation_of,MSHSPA,31110
has_translation,MSHPOR,31110
has_translation,MSHPOL,31110
has_translation,MSHRUS,31110
has_translation,MSHSPA,31110
translation_of,MSHGER,30908
has_translation,MSHGER,30908
has_clinician_form,CPT,30859
clinician_form_of,CPT,30859
has_indirect_procedure_site,SNOMEDCT_US,30713
indirect_procedure_site_of,SNOMEDCT_US,30713
has_indirect_procedure_site,SCTSPA,30663
indirect_procedure_site_of,SCTSPA,30663
translation_of,MSHSWE,29932
has_translation,MSHSWE,29932
gene_product_plays_role_in_biological_process,NCI,29642
biological_process_involves_gene_product,NCI,29642
clinically_associated_with,CCPSS,29632
has_transliterated_form,MSHRUS,29445
transliterated_form_of,MSHRUS,29445
is_not_abnormal_cell_of_disease,NCI,29205
disease_excludes_abnormal_cell,NCI,29205
due_to,SNOMEDCT_US,28868
cause_of,SNOMEDCT_US,28868
intent_of,SNOMEDCT_US,28175
has_intent,SNOMEDCT_US,28175
intent_of,SCTSPA,28007
has_intent,SCTSPA,28007
due_to,SCTSPA,27861
cause_of,SCTSPA,27861
has_regional_part,FMA,27672
regional_part_of,FMA,27672
laterality_of,SNOMEDCT_US,27317
has_laterality,SNOMEDCT_US,27317
laterality_of,SCTSPA,27192
has_laterality,SCTSPA,27192
has_direct_procedure_site,MEDCIN,26917
direct_procedure_site_of,MEDCIN,26917
replaces,SNOMEDCT_US,26388
replaced_by,SNOMEDCT_US,26388
is_normal_cell_origin_of_disease,NCI,26247
disease_has_normal_cell_origin,NCI,26247
has_suffix,LNC,26245
suffix_of,LNC,26245
