CUI1,CUI2,RELA,SAB,CUI1_name,CUI2_name
C0003144,C0033774,may_treat,MED-RT,antazoline phosphate,Pruritus
C0003144,C0035204,may_treat,MED-RT,antazoline phosphate,Respiration Disorders
C0003166,C0033860,may_treat,MED-RT,anthralin,Psoriasis
C0003420,C0029882,may_treat,MED-RT,antipyrine,Otitis Media
C0003765,C0001122,may_treat,MED-RT,arginine,Acidosis
C0003830,C0021843,contraindicated_with_disease,MED-RT,trihexyphenidyl hydrochloride,Intestinal Obstruction
C0003830,C0026896,contraindicated_with_disease,MED-RT,trihexyphenidyl hydrochloride,Myasthenia Gravis
C0003830,C0030920,contraindicated_with_disease,MED-RT,trihexyphenidyl hydrochloride,Peptic Ulcer
C0003968,C0025637,may_treat,MED-RT,ascorbic acid,Methemoglobinemia
C0003968,C0036474,may_treat,MED-RT,ascorbic acid,Scurvy
C0003993,C0008350,may_treat,MED-RT,asparaginase,Cholelithiasis
C0003993,C0030305,contraindicated_with_disease,MED-RT,asparaginase,Pancreatitis
C0004011,C0019158,contraindicated_with_disease,MED-RT,aspartate magnesium hydrochloride,Hepatitis
C0004011,C0024473,may_prevent,MED-RT,aspartate magnesium hydrochloride,Magnesium Deficiency
C0004011,C0024473,may_treat,MED-RT,aspartate magnesium hydrochloride,Magnesium Deficiency
C0004037,C0011849,contraindicated_with_disease,MED-RT,Aspergillus fumigatus,Diabetes Mellitus
C0004037,C0019087,contraindicated_with_disease,MED-RT,Aspergillus fumigatus,Hemorrhagic Disorders
C0004057,C0003873,may_treat,MED-RT,aspirin,Rheumatoid Arthritis
C0004057,C0005779,contraindicated_with_disease,MED-RT,aspirin,Blood Coagulation Disorders
C0004057,C0008049,contraindicated_with_disease,MED-RT,aspirin,Chickenpox
C0004057,C0018099,may_treat,MED-RT,aspirin,Gout
C0004057,C0018926,contraindicated_with_disease,MED-RT,aspirin,Hematemesis
C0004057,C0019087,contraindicated_with_disease,MED-RT,aspirin,Hemorrhagic Disorders
C0004057,C0025222,contraindicated_with_disease,MED-RT,aspirin,Melena
C0004057,C0027430,contraindicated_with_disease,MED-RT,aspirin,Nasal Polyp
C0004057,C0029408,may_treat,MED-RT,aspirin,Degenerative polyarthritis
C0004057,C0032914,may_prevent,MED-RT,aspirin,Pre-Eclampsia
C0004057,C0035436,may_treat,MED-RT,aspirin,Rheumatic Fever
C0004147,C0002962,may_treat,MED-RT,atenolol,Angina Pectoris
C0004147,C0018801,contraindicated_with_disease,MED-RT,atenolol,Heart failure
C0004147,C0018801,may_treat,MED-RT,atenolol,Heart failure
C0004147,C0020649,contraindicated_with_disease,MED-RT,atenolol,Hypotension
C0004147,C0034063,contraindicated_with_disease,MED-RT,atenolol,Pulmonary Edema
C0004147,C0036980,contraindicated_with_disease,MED-RT,atenolol,"Shock, Cardiogenic"
C0004147,C0039240,may_treat,MED-RT,atenolol,Supraventricular tachycardia
C0004147,C0042510,may_treat,MED-RT,atenolol,Ventricular Fibrillation
C0004147,C0042514,may_treat,MED-RT,atenolol,"Tachycardia, Ventricular"
C0004259,C0009324,contraindicated_with_disease,MED-RT,atropine,Ulcerative Colitis
C0004259,C0018790,may_treat,MED-RT,atropine,Cardiac Arrest
C0004259,C0021843,contraindicated_with_disease,MED-RT,atropine,Intestinal Obstruction
C0004259,C0023308,contraindicated_with_disease,MED-RT,atropine,Lens Diseases
C0004259,C0023895,contraindicated_with_disease,MED-RT,atropine,Liver diseases
C0004259,C0025162,contraindicated_with_disease,MED-RT,atropine,"Megacolon, Toxic"
C0004259,C0026896,contraindicated_with_disease,MED-RT,atropine,Myasthenia Gravis
C0004259,C0040156,contraindicated_with_disease,MED-RT,atropine,Thyrotoxicosis
C0004259,C0042164,may_treat,MED-RT,atropine,Uveitis
C0004261,C0009324,contraindicated_with_disease,MED-RT,hyoscyamine sulfate,Ulcerative Colitis
C0004261,C0017601,contraindicated_with_disease,MED-RT,hyoscyamine sulfate,Glaucoma
C0004261,C0021843,contraindicated_with_disease,MED-RT,hyoscyamine sulfate,Intestinal Obstruction
C0004261,C0022104,may_treat,MED-RT,hyoscyamine sulfate,Irritable Bowel Syndrome
C0004261,C0025162,contraindicated_with_disease,MED-RT,hyoscyamine sulfate,"Megacolon, Toxic"
C0004261,C0026896,contraindicated_with_disease,MED-RT,hyoscyamine sulfate,Myasthenia Gravis
C0004261,C0030920,may_treat,MED-RT,hyoscyamine sulfate,Peptic Ulcer
C0004261,C0037763,may_treat,MED-RT,hyoscyamine sulfate,Spasm
C0004261,C0040822,may_treat,MED-RT,hyoscyamine sulfate,Tremor
C0004261,C0151744,contraindicated_with_disease,MED-RT,hyoscyamine sulfate,Myocardial Ischemia
C0004320,C0003872,may_treat,MED-RT,auranofin,"Arthritis, Psoriatic"
C0004320,C0003873,may_treat,MED-RT,auranofin,Rheumatoid Arthritis
C0004320,C0011606,contraindicated_with_disease,MED-RT,auranofin,Exfoliative dermatitis
C0004320,C0018801,contraindicated_with_disease,MED-RT,auranofin,Heart failure
C0004320,C0024141,contraindicated_with_disease,MED-RT,auranofin,"Lupus Erythematosus, Systemic"
C0004320,C0030807,may_treat,MED-RT,auranofin,Pemphigus
