CUI1,CUI2,RELA,SAB
C0004963,C0042109,may_treat,MED-RT
C0004975,C0018801,may_treat,MED-RT
C0005013,C0003469,may_treat,MED-RT
C0005013,C0036341,may_treat,MED-RT
C0005025,C0004623,may_prevent,MED-RT
C0005026,C0004623,may_prevent,MED-RT
C0005038,C0030756,may_treat,MED-RT
C0005038,C0036262,may_treat,MED-RT
C0005059,C0004623,contraindicated_with_disease,MED-RT
C0005059,C0013456,may_treat,MED-RT
C0005059,C0016167,may_treat,MED-RT
C0005059,C0019348,may_treat,MED-RT
C0005059,C0029878,may_treat,MED-RT
C0005059,C0029882,may_treat,MED-RT
C0005059,C0033774,may_treat,MED-RT
C0005088,C0001144,may_treat,MED-RT
C0005088,C0035854,may_treat,MED-RT
C0005096,C0017601,contraindicated_with_disease,MED-RT
C0005096,C0028754,may_treat,MED-RT
C0005096,C0040517,contraindicated_with_disease,MED-RT
C0005096,C1263846,contraindicated_with_disease,MED-RT
C0005098,C0021843,contraindicated_with_disease,MED-RT
C0005098,C0026896,contraindicated_with_disease,MED-RT
C0005098,C0030920,contraindicated_with_disease,MED-RT
C0005100,C0030756,may_prevent,MED-RT
C0005100,C0030756,may_treat,MED-RT
C0005116,C0002962,may_treat,MED-RT
C0005116,C0020649,contraindicated_with_disease,MED-RT
C0005116,C0042514,contraindicated_with_disease,MED-RT
C0005304,C0019880,may_treat,MED-RT
C0005308,C0011615,may_treat,MED-RT
C0005308,C0026946,contraindicated_with_disease,MED-RT
C0005308,C0033775,may_treat,MED-RT
C0005308,C0033860,may_treat,MED-RT
C0005308,C0036508,may_treat,MED-RT
C0005310,C0011615,may_treat,MED-RT
C0005310,C0026946,contraindicated_with_disease,MED-RT
C0005310,C0033775,may_treat,MED-RT
C0005310,C0033860,may_treat,MED-RT
C0005310,C0036508,may_treat,MED-RT
C0005311,C0011615,may_treat,MED-RT
C0005311,C0026946,contraindicated_with_disease,MED-RT
C0005311,C0033775,may_treat,MED-RT
C0005311,C0033860,may_treat,MED-RT
C0005311,C0036508,may_treat,MED-RT
C0005320,C0004245,contraindicated_with_disease,MED-RT
C0005320,C0017612,may_treat,MED-RT
C0005320,C0018801,contraindicated_with_disease,MED-RT
C0005320,C0020649,contraindicated_with_disease,MED-RT
C0005320,C0034063,contraindicated_with_disease,MED-RT
C0005320,C0036980,contraindicated_with_disease,MED-RT
C0005404,C0020445,may_treat,MED-RT
C0005575,C0042850,may_treat,MED-RT
C0005578,C0021843,contraindicated_with_disease,MED-RT
C0005578,C0025162,contraindicated_with_disease,MED-RT
C0005632,C0003615,contraindicated_with_disease,MED-RT
C0005632,C0009806,may_treat,MED-RT
C0005632,C0011991,contraindicated_with_disease,MED-RT
C0005632,C0021843,contraindicated_with_disease,MED-RT
C0005640,C0001973,contraindicated_with_disease,MED-RT
C0005640,C0002940,contraindicated_with_disease,MED-RT
C0005640,C0013537,contraindicated_with_disease,MED-RT
C0005640,C0023418,contraindicated_with_disease,MED-RT
C0005640,C0023895,contraindicated_with_disease,MED-RT
C0005640,C0032914,contraindicated_with_disease,MED-RT
C0005640,C0033575,contraindicated_with_disease,MED-RT
C0005640,C0042880,contraindicated_with_disease,MED-RT
C0005642,C0005779,contraindicated_with_disease,MED-RT
C0005642,C0008049,contraindicated_with_disease,MED-RT
